,state-code,state-name,district-code,district-name,teh-code,teh-name,vill-code,ward-no,area-name,census_id
10902,03,PUNJAB,051,Rupnagar,00264,Rup Nagar,038622,0000,Dakala (34),0305100264038622
16500,06,HARYANA,081,Bhiwani,00398,Bhiwani,061164,0000,Biran (27),0608100398061164
17323,06,HARYANA,084,Mahendragarh,00411,Mahendragarh,061981,0000,Khudana(41),0608400411061981
18603,06,HARYANA,087,Mewat ,00423,Ferozepur Jhirka,063297,0000,Badopur(103),0608700423063297
2732,03,PUNJAB,037,Jalandhar,00212,Jalandhar - I,030279,0000,Dhandauri (72),0303700212030279
10414,03,PUNJAB,050,Tarn Taran,00260,Patti ,038135,0000,Maneke Jand (197),0305000260038135
17695,06,HARYANA,085,Rewari,00413,Kosli,062352,0000,Sudhrana (12-N),0608500413062352
16116,06,HARYANA,079,Sirsa,00391,Rania,060788,0000,Bhoona(224),0607900391060788
14934,06,HARYANA,075,Panipat,00377,Samalkha,059610,0000,Garhi Bhalaur (52),0607500377059610
8468,03,PUNJAB,047,Mansa,00249,Mansa,036115,0000,Karamgarh Urf Autanwali (83),0304700249036115
3701,03,PUNJAB,038,Hoshiarpur,00215,Mukerian ,031278,0000,Gawal Chak Shangaru  (595),0303800215031278
16257,06,HARYANA,080,Hisar,00394,Hisar,060923,0000,Singhran(219),0608000394060923
1501,03,PUNJAB,035,Gurdaspur,00204,Dera Baba Nanak  ,028968,0000,Veroke (470),0303500204028968
3289,03,PUNJAB,038,Hoshiarpur,00214,Dasua,030861,0000,Mohan (52),0303800214030861
16953,06,HARYANA,082,Rohtak,00405,Rohtak,061606,0000,Gudhan(134),0608200405061606
5258,03,PUNJAB,040,Fatehgarh Sahib,00222,Amloh,032849,0000,Kaulgarh (167),0304000222032849
18709,06,HARYANA,087,Mewat ,00424,Punahana,063408,0000,Paima Khera(233),0608700424063408
15843,06,HARYANA,079,Sirsa,00389,Dabwali,060516,0000,Bharu Khera(266),0607900389060516
13267,06,HARYANA,071,Yamunanagar,00361,Jagadhri,057907,0000,Bhojpur (397),0607100361057907
2729,03,PUNJAB,037,Jalandhar,00212,Jalandhar - I,030276,0000,Mussapur (175),0303700212030276
15315,06,HARYANA,077,Jind,00382,Narwana,059999,0000,Kaloda Kalan (84),0607700382059999
19063,06,HARYANA,089,Palwal ,00428,Hathin,063770,0000,Hudithal(261),0608900428063770
16126,06,HARYANA,079,Sirsa,00391,Rania,060798,0000,Mattuwala(240),0607900391060798
1251,03,PUNJAB,035,Gurdaspur,00203,Batala ,028715,0000,Rangilpur (127),0303500203028715
8255,03,PUNJAB,046,Bathinda,00246,Talwandi Sabo,035906,0000,Behman Jassa Singh (133),0304600246035906
3334,03,PUNJAB,038,Hoshiarpur,00214,Dasua,030906,0000,Khangwari (465),0303800214030906
6699,03,PUNJAB,043,Firozpur,00234,Zira,034319,0000,Mithe (31),0304300234034319
18698,06,HARYANA,087,Mewat ,00424,Punahana,063395,0000,Rajpur(195),0608700424063395
